dam_nm,msmt_tm,rsvr_wal_hg,rain_qy,inflow_qy,tot_dcwtr_qy,rsvwt_qy,dam_rsvwt_rt
횡성,2024112005,177.26,0,3.598,3.598,71.1242,81.9
횡성,2024112004,177.26,0,3.597,3.597,71.1242,81.9
횡성,2024112003,177.26,0,3.623,3.623,71.1242,81.9
횡성,2024112002,177.26,0,3.777,3.777,71.1242,81.9
횡성,2024112001,177.26,0,3.787,3.787,71.1242,81.9
횡성,2024111924,177.26,0,3.789,3.789,71.1242,81.9
횡성,2024111923,177.26,0,0,3.789,71.1242,81.9
횡성,2024111922,177.267,0,0,3.793,71.1615,81.9
횡성,2024111921,177.27,0,3.791,3.791,71.1775,81.9
횡성,2024111920,177.27,0,3.792,3.792,71.1775,81.9
횡성,2024111919,177.27,0,3.73,3.73,71.1775,81.9
횡성,2024111918,177.27,0,3.793,3.793,71.1775,81.9
횡성,2024111917,177.27,0,3.792,3.792,71.1775,81.9
횡성,2024111916,177.27,0,3.789,3.789,71.1775,81.9
횡성,2024111915,177.27,0,0,3.839,71.1775,81.9
횡성,2024111914,177.28,0,3.887,3.887,71.2308,82
횡성,2024111913,177.28,0,3.889,3.889,71.2308,82
횡성,2024111912,177.28,0,3.888,3.888,71.2308,82
횡성,2024111911,177.28,0,3.888,3.888,71.2308,82
횡성,2024111910,177.28,0,0,3.888,71.2308,82
횡성,2024111909,177.29,0,3.8,3.8,71.2842,82
횡성,2024111908,177.29,0,3.635,3.635,71.2842,82
횡성,2024111907,177.29,0,3.441,3.441,71.2842,82
횡성,2024111906,177.29,0,3.866,3.866,71.2842,82
횡성,2024112820,177.04,0,3.872,3.872,69.9571,80.5
횡성,2024112819,177.04,0,3.881,3.881,69.9571,80.5
횡성,2024112818,177.04,0,3.878,3.878,69.9571,80.5
횡성,2024112817,177.04,0,1.935,1.935,69.9571,80.5
횡성,2024112816,177.04,0,1.298,1.298,69.9571,80.5
횡성,2024112815,177.04,0,1.291,1.291,69.9571,80.5
횡성,2024112814,177.04,1,1.349,1.349,69.9571,80.5
횡성,2024112813,177.04,1,3.256,3.256,69.9571,80.5
